system:index,total_precipitation_sum
200001,0.01400455859197494
200002,8.760899773782773E-4
200003,0.030686930018417262
200004,0.07798536565671481
200005,0.044143952150888816
200006,0.009986564098182217
200007,0.0016009881568393599
200008,0.0074847007824646004
200009,0.010747389878678884
200010,0.06402656562456592
200011,0.048810530570944984
200012,0.06508395328503262
200101,0.06535884156875053
200102,0.030664061793836208
200103,0.04561000015185548
200104,0.02501565636306446
200105,0.06457713757175217
200106,0.005290530761486279
200107,0.005575041737679799
200108,0.00791681501622823
200109,0.060269930552576303
200110,0.04080558249152025
200111,0.042291750953652216
200112,0.03890605952742429
200201,0.02558318380551621
200202,0.003480299386460913
200203,0.05834725177495495
200204,0.07468423307644231
200205,0.0794671299943665
200206,0.04091435007232361
200207,0.012499816090107332
200208,0.034372789705376654
200209,0.03727404258729526
200210,0.04226572613647086
200211,0.0629863428171566
200212,0.05602096838704651
200301,0.03986010774470341
200302,0.0649997271071401
200303,0.03847114751631716
200304,0.06378521783045552
200305,0.08209795671102402
200306,0.022676996738541108
200307,0.005863896651442389
200308,0.015147680923192693
200309,0.05938391238528583
200310,0.08869836769729338
200311,0.035317771550647796
200312,0.03564547676920182
200401,0.010755810892874458
200402,0.06252155236165789
200403,0.08533599741261064
200404,0.08402642301830775
200405,0.1033709013324325
200406,0.016865070815269778
200407,0.014647165639202247
200408,0.0113407970674232
200409,0.029100281429843406
200410,0.032311295129742366
200411,0.007630632949413784
200412,0.05015220506991158
200501,0.0012185279350534236
200502,0.02851811031675871
200503,0.023895574016109155
200504,0.021119494790932194
200505,0.027833163216788685
200506,0.016280663350757035
200507,0.01599590420114485
200508,0.0322805713292301
200509,0.03686562421235295
200510,0.03537429028926311
200511,0.05515188765728552
200512,0.026689872017965317
200601,0.059865882417713054
200602,0.0435818293436856
200603,0.02998720211318585
200604,0.040157503839424284
200605,0.0395008195596364
200606,0.031147538950001812
200607,0.009002942827422904
200608,0.015086539354962241
200609,0.05234603341034217
200610,0.052452688248557595
200611,0.083702026973966
200612,0.014920670652972845
200701,0.0322972192915705
200702,0.04372404057547617
200703,0.05079525114938517
200704,0.1179702419809119
200705,0.04874089288332927
200706,0.018230547087232863
200707,0.0024389705128769795
200708,0.03584482182975112
200709,0.04627100318403656
200710,0.05190170138028068
200711,0.01593079536716938
200712,0.01946669974906611
200801,0.0274862292197331
200802,0.033672242464668156
200803,0.013738625509411819
200804,0.07632529549159546
200805,0.09983629696733863
200806,0.06957017008802022
200807,0.009280914589090835
200808,0.007856988974818166
200809,0.0491887532761265
200810,0.10305137915451404
200811,0.03208515305556975
200812,0.043200651868077276
200901,0.05373126364346267
200902,0.03131363041477616
200903,0.07278428488591047
200904,0.04117827243502582
200905,0.018980637598577266
200906,0.008378436588609843
200907,0.006271769529438749
200908,0.016476062813457638
200909,0.07183274046940086
200910,0.02396960796972506
200911,0.012613465748610194
200912,0.14482237984320692
201001,0.09028634272368463
201002,0.07412683935793625
201003,0.05821274827164563
201004,0.05161866875212975
201005,0.04731386719188628
201006,0.049930424833452836
201007,0.005382151212859518
201008,0.04763886261880989
201009,0.04307482648940467
201010,0.06374389808985233
201011,0.03997389365850769
201012,0.06432769686024471
201101,0.03187264118495964
201102,0.032759832945701055
201103,0.059725896669366535
201104,0.06109887403645635
201105,0.06656778336577202
201106,0.02636103390305976
201107,0.011875377939521802
201108,0.0059298634799405114
201109,0.008187802732974642
201110,0.02671556503969751
201111,0.09447447788152301
201112,0.009000276675792541
201201,0.02167746340797194
201202,0.009025824726285058
201203,0.035401571859580615
201204,0.06747157076926145
201205,0.020976673120025293
201206,0.023439193675281727
201207,0.005142634606489096
201208,0.006042911938221931
201209,0.058360656057759974
201210,0.09418829648934293
201211,0.07820734047244961
201212,0.011372678961898152
201301,0.04828638933355534
201302,0.05295915310679093
201303,0.10212714985340436
201304,0.07821236353326182
201305,0.0453487814018561
201306,0.016175320933913884
201307,0.006997903877940506
201308,0.06735372263905351
201309,0.016803118268758056
201310,0.028581255319406685
201311,0.024446425613947293
201312,0.04155942396981691
201401,0.05070075096989047
201402,0.0556680578447128
201403,0.03425141832010901
201404,0.0249851973485576
201405,0.01624229222761779
201406,0.02639818402629883
201407,0.023513470586826388
201408,0.006610429919138911
201409,0.040490643534397866
201410,0.03295233980600461
201411,0.0978019166854539
201412,0.02674167158654894
201501,0.033302708252707106
201502,0.037024863390432455
201503,0.06673248072136868
201504,0.024258535157583715
201505,0.019337778909078073
201506,0.026254562117372034
201507,0.02044991644851085
201508,0.02458185666814749
201509,0.0554661685706677
201510,0.0421136303275506
201511,0.0334527343026654
201512,0.003154946647394184
201601,0.03211558788678087
201602,0.04574602800766899
201603,0.037219198940541265
201604,0.07889496380618005
201605,0.06922667685861432
201606,0.007685053649156075
201607,0.00584955853411256
201608,0.013933862773423572
201609,0.012910473687949627
201610,0.07169306956400544
201611,0.1058592478715429
201612,0.07650644498612759
201701,0.03874537273842714
201702,0.03161590783041907
201703,0.06310270432337568
201704,0.03027617904459539
201705,0.025299957217125465
201706,0.02416001758177566
201707,0.02178441304381676
201708,0.049582841562485026
201709,0.010404173480805303
201710,0.01672427739961279
201711,0.024374477701706816
201712,0.02861935924381327
201801,0.03891557467254952
201802,0.06420750033829896
201803,0.10146475787432926
201804,0.06317930938610562
201805,0.08414621483164601
201806,0.06150373854185832
201807,0.003885533927940987
201808,0.03465598125296828
201809,0.05236018666016445
201810,0.08773928759428302
201811,0.06485803520021227
201812,0.010779910376066711
